country,product,value,rca,eci,coi,pci,cog,density,Dpt_name,rca2,rpca
Boyaca,4644,122.6233,0,-0.313516702997745,-0.0268807065935751,0.0868958574652747,0.326165806093378,0.168864849180922,Boyaca,0.07751172899183165,0.060131503364860096
Boyaca,4645,2100.96257,0,-0.313516702997745,-0.0268807065935751,0.902174331828196,1.55648669373042,0.117201765948625,Boyaca,0.14690636744747054,0.11396598738518483
Boyaca,4649,8801.50142,0,-0.313516702997745,-0.0268807065935751,-0.0530328340057614,0.123763860071016,0.157563168463832,Boyaca,0.7029886745251497,0.5453596042493426
Boyaca,4652,219.84889,0,-0.313516702997745,-0.0268807065935751,0.122053231020924,0.872915126918263,0.17206032859433,Boyaca,0.0649513247144716,0.05038748137113485
Boyaca,4653,67.24165,0,-0.313516702997745,-0.0268807065935751,-0.482615640057611,0.114607997311172,0.191959943086164,Boyaca,0.1206092379400845,0.09356538541143469
Boyaca,4659,601.43144,0,-0.313516702997745,-0.0268807065935751,1.49871754426495,1.99372007634751,0.105544875334092,Boyaca,0.07902457865965606,0.06130513122833994
Boyaca,4661,375.5383,0,-0.313516702997745,-0.0268807065935751,-0.629286694928543,-0.0039745467746797,0.185845427800429,Boyaca,0.2186127733415466,0.16959387807197426
Boyaca,4663,5706.25386,0,-0.313516702997745,-0.0268807065935751,0.603664825530988,0.590653837522649,0.186026555225515,Boyaca,0.2767407751803886,0.21468801006499513
Boyaca,4664,5583.6452,1,-0.313516702997745,-0.0268807065935751,-0.155704831063813,-0.250523896488599,0.266990282083171,Boyaca,1.001778684186282,0.777152814193328
Boyaca,4665,3558.52807,0,-0.313516702997745,-0.0268807065935751,-0.275798689812876,-0.238742154406868,0.202994322533703,Boyaca,0.1275567241960054,0.09895505738248894
Boyaca,4669,46.91821,0,-0.313516702997745,-0.0268807065935751,1.12495261515295,1.15988639168658,0.115766471603247,Boyaca,0.01846213235166495,0.014322423045725433
Boyaca,4690,251.06355,0,-0.313516702997745,-0.0268807065935751,-0.0988920530368574,-0.0404900597253539,0.190486337328556,Boyaca,0.3003591587457719,0.2330105133726439
Boyaca,4711,160151.87417,0,-0.313516702997745,-0.0268807065935751,-1.06692731936457,-1.50815607653877,0.268888525585632,Boyaca,0.8061233561544776,0.6253687014026423
Boyaca,4719,16812.92257,0,-0.313516702997745,-0.0268807065935751,-0.476331794247914,-0.706374677155484,0.224062959405093,Boyaca,0.6653495173378101,0.5161601639001338
Boyaca,4721,50516.02076,1,-0.313516702997745,-0.0268807065935751,-1.13155408164052,-0.250523896488599,0.302001793478344,Boyaca,2.5171691740826456,1.9527517787304616
Boyaca,4722,6675.22284,1,-0.313516702997745,-0.0268807065935751,-1.0760639174465,-0.250523896488599,0.317555258445411,Boyaca,1.1978582012617736,0.9292660013736526
