year,state,industry,people,wage
2012,Amazonas,0000,26.84594021423773,13243510.711716393
2012,Amazonas,0112,14.761192685406492,2120510.803210725
2012,Amazonas,0113,15.18521334922667,2529410.017566793
2012,Amazonas,0118,5.634561140291467,845184.1710437201
2012,Amazonas,0121,7.4835829466956705,4490149.768017402
2012,Amazonas,0123,17.96555609436697,11425895.105420154
2012,Amazonas,0125,3.7749883904675254,1887494.1952337627
2012,Amazonas,0130,3.956355280847859,3560719.752763073
2012,Amazonas,0140,45.53824318274572,18741327.505986977
2012,Amazonas,0201,16.1289470025181,9942345.905469341
2012,Amazonas,0501,25.964100455558125,13904822.763611404
2012,Amazonas,1511,7.545879794853285,1509175.9589706569
2012,Amazonas,1551,118.55536566244446,71319001.16050988
2012,Amazonas,1581,5.6201224389427935,5507719.990163937
2012,Amazonas,1589,17.6906096459239,32197019.80676455
2012,Amazonas,1592,6.471794780048038,0
2012,Amazonas,1594,117.86243384484423,169008439.36292705
2012,Amazonas,1810,82.60514008631455,26951029.584718302
2012,Amazonas,1926,6.899603215060016,413976.192903601
2012,Amazonas,2030,5.484414147371199,5484414.147371199
2012,Amazonas,2220,21.551202215784805,9179668.250899179
2012,Amazonas,2231,14.449728269255957,8370517.063024394
2012,Amazonas,2424,14.33156906039778,3422342.9988585743
2012,Amazonas,2610,16.008391062874484,9200110.669117624
2012,Amazonas,2693,4.362059724282614,1308617.9172847841
2012,Amazonas,2811,14.423465623707083,16357445.32691606
2012,Amazonas,2893,6.465868440619097,2586347.376247639
2012,Amazonas,3512,3.859938770702957,1929969.3853514786
2012,Amazonas,3611,49.31284453122576,35206739.41881274
2012,Amazonas,3699,33.54747480036809,12054497.980462391
2012,Amazonas,4010,62.31621767055887,80462753.26042
2012,Amazonas,4100,19.392000342048092,11719418.994092153
2012,Amazonas,4521,441.31125424588055,318190883.23421824
2012,Amazonas,4522,28.200662138587397,16711691.2971735
2012,Amazonas,4530,34.5326012511302,26433123.877675597
2012,Amazonas,4542,40.88353407928226,21263069.500540588
2012,Amazonas,4552,36.533172434322616,10601087.178017594
2012,Amazonas,5011,7.449463284708384,4469677.9708250305
2012,Amazonas,5020,117.83636801087353,188027184.25838637
2012,Amazonas,5030,7.7308293704393805,3092331.7481757523
2012,Amazonas,5040,151.96676902471566,249594140.5194794
2012,Amazonas,5051,16.299356787123358,12410458.358664464
2012,Amazonas,5111,6.070930956589323,4856744.765271459
2012,Amazonas,5123,4.017462800454805,2410477.680272883
2012,Amazonas,5124,28.00429787214511,14002148.936072554
2012,Amazonas,5125,100.36984419570432,96865431.67384577
2012,Amazonas,5126,4.979703004182881,0
2012,Amazonas,5132,10.641816599263988,21934730.405190896
2012,Amazonas,5134,6.582362642670871,4179800.278096003
2012,Amazonas,5139,36.32845686783554,23525072.972461224
2012,Amazonas,5141,11.347796841254477,9856702.936012149
2012,Amazonas,5153,11.262723838237218,16163172.168645643
2012,Amazonas,5155,11.834570638850131,11834570.638850132
2012,Amazonas,5161,6.201467128721512,3944133.0938668814
2012,Amazonas,5170,26.005557296578125,9317509.304845907
2012,Amazonas,5211,425.0142652378309,297942866.86928415
2012,Amazonas,5219,19.770335718385702,34237666.13056735
2012,Amazonas,5221,52.85473505240657,37766094.41199772
2012,Amazonas,5223,173.10939012237316,165137817.9776531
2012,Amazonas,5224,4.0946266392598325,2047313.3196299162
2012,Amazonas,5225,88.5850810648901,31915637.96195953
2012,Amazonas,5229,79.4356785315644,32198032.77526377
2012,Amazonas,5231,89.95958353421689,69945078.41388898
2012,Amazonas,5232,4.657882235214716,69868233.52822074
2012,Amazonas,5233,295.0526528089779,206918177.1745278
2012,Amazonas,5234,28.84872637566941,36557600.88827653
2012,Amazonas,5235,40.54425655179476,32014149.33607059
2012,Amazonas,5237,31.805032453678137,18279308.343236912
2012,Amazonas,5239,166.92410229004474,123084970.56212054
2012,Amazonas,5241,95.16428894076954,69219266.15888734
2012,Amazonas,5243,24.82067589425838,36556814.499102086
2012,Amazonas,5244,9.829994156223998,6283159.24369828
2012,Amazonas,5249,5.798092654420521,3281720.442402015
2012,Amazonas,5252,10.625904846110005,4436368.987940684
2012,Amazonas,5261,108.33647944409827,40597667.63176972
2012,Amazonas,5262,43.24501263935115,15195418.185072403
2012,Amazonas,5271,37.084826122586904,9850950.57288396
2012,Amazonas,5272,100.92504641459108,43764389.18305777
2012,Amazonas,5511,174.3409258374453,100150008.24811442
2012,Amazonas,5512,35.60431273276416,22995146.602874
2012,Amazonas,5519,11.1220953879232,7785466.771546239
2012,Amazonas,5521,267.7509980733627,144341957.88208932
2012,Amazonas,5522,29.335434049711118,16510064.798377313
2012,Amazonas,5529,335.4947344716285,163382831.11969534
2012,Amazonas,5530,88.2836010113238,59021954.09776666
