country,product,value,rca,eci,coi,pci,cog,density,Dpt_name
Amazonas,111,57.34548,0,-0.00521297658826069,0.151563131831409,-1.70283190314868,-2.77772458687082,0.208512598438401,Amazonas
Amazonas,113,240.33914,0,-0.00521297658826069,0.151563131831409,-1.70185793031891,-2.58238454351875,0.169596426527049,Amazonas
Amazonas,121,161.14625,0,-0.00521297658826069,0.151563131831409,-0.320653328530151,-0.793143423706236,0.190019413171954,Amazonas
Amazonas,161,181.6251,0,-0.00521297658826069,0.151563131831409,-1.88864554914803,-2.60947654209586,0.188742126468585,Amazonas
Amazonas,312,98.09873,0,-0.00521297658826069,0.151563131831409,-2.49210050381783,-3.32389321798957,0.224317041749659,Amazonas
Amazonas,322,258.6036,1,-0.00521297658826069,0.151563131831409,-0.989531396311176,-0.142897573681511,0.285982134582389,Amazonas
Amazonas,610,106.4031,1,-0.00521297658826069,0.151563131831409,-0.0398255039816392,-0.142897573681511,0.246266664894541,Amazonas
Amazonas,1081,466.31049,0,-0.00521297658826069,0.151563131831409,-0.453158921089399,-0.618042474067541,0.194329533099074,Amazonas
Amazonas,1103,65.91512,1,-0.00521297658826069,0.151563131831409,-0.291397652236967,-0.142897573681511,0.212020152361413,Amazonas
Amazonas,1104,248.92107,1,-0.00521297658826069,0.151563131831409,-0.472023467659138,-0.142897573681511,0.266122492156255,Amazonas
Amazonas,1410,273.87527,0,-0.00521297658826069,0.151563131831409,1.19982706564655,1.86408504702292,0.111033056615925,Amazonas
Amazonas,1811,77.3764,0,-0.00521297658826069,0.151563131831409,1.3177637848817,2.25317317484996,0.114206297955176,Amazonas
Amazonas,2511,68.09356,0,-0.00521297658826069,0.151563131831409,-0.0646003592398537,-0.36160828592504,0.208889703529092,Amazonas
Amazonas,2592,72.15502,0,-0.00521297658826069,0.151563131831409,-0.671810995948329,-1.17938444936699,0.231063660017403,Amazonas
Amazonas,3110,466.1954,0,-0.00521297658826069,0.151563131831409,0.0557309090478228,0.0870343516850381,0.180127532265718,Amazonas
Amazonas,3210,138.9638,1,-0.00521297658826069,0.151563131831409,0.120253009898714,-0.142897573681511,0.229948065577882,Amazonas
Amazonas,3290,62.89301,0,-0.00521297658826069,0.151563131831409,-1.04228648188362,-1.63074348684318,0.203392136386281,Amazonas
Amazonas,3311,97.27203,1,-0.00521297658826069,0.151563131831409,-0.132553358944878,-0.142897573681511,0.269369147447377,Amazonas
Amazonas,3312,41.04819,0,-0.00521297658826069,0.151563131831409,0.211663870756283,0.403907260886105,0.197561406151049,Amazonas
Amazonas,3511,481.90412,1,-0.00521297658826069,0.151563131831409,-0.422001622671327,-0.142897573681511,0.300225210177609,Amazonas
Amazonas,3513,69.60841,1,-0.00521297658826069,0.151563131831409,-0.140141007283016,-0.142897573681511,0.287714689661182,Amazonas
Amazonas,3811,180.82184,0,-0.00521297658826069,0.151563131831409,0.575504659940324,0.785550214988364,0.171220786168571,Amazonas
Amazonas,3830,257.33454,0,-0.00521297658826069,0.151563131831409,-0.473717878839802,-0.815759193367757,0.195214881903047,Amazonas
Amazonas,4111,3238.65631,0,-0.00521297658826069,0.151563131831409,-0.414288751436515,-0.696942745875736,0.254260032535928,Amazonas
Amazonas,4210,52.09739,0,-0.00521297658826069,0.151563131831409,-0.120702726721652,-0.440183820258433,0.231287752486365,Amazonas
Amazonas,4290,79.1829,0,-0.00521297658826069,0.151563131831409,-0.111776792037274,-0.428756825586846,0.227725431183044,Amazonas
Amazonas,4321,428.66208,0,-0.00521297658826069,0.151563131831409,0.253136837157324,0.309965323154476,0.193692230628689,Amazonas
Amazonas,4330,1657.75865,1,-0.00521297658826069,0.151563131831409,0.44750844506188,-0.142897573681511,0.207555514359999,Amazonas
Amazonas,4520,675.98574,0,-0.00521297658826069,0.151563131831409,-0.168871002978986,-0.602258849845401,0.239539051761349,Amazonas
Amazonas,4530,60.87656,0,-0.00521297658826069,0.151563131831409,0.656174983886281,0.849589862139458,0.185973734271109,Amazonas
Amazonas,4541,299.91287,1,-0.00521297658826069,0.151563131831409,0.0142826698624204,-0.142897573681511,0.264187744031339,Amazonas
Amazonas,4542,756.15422,1,-0.00521297658826069,0.151563131831409,-0.671906955593874,-0.142897573681511,0.30469828173502,Amazonas
Amazonas,4620,166.99152,0,-0.00521297658826069,0.151563131831409,-0.705173024227588,-1.1322970427199,0.245383775583047,Amazonas
Amazonas,4631,521.89651,1,-0.00521297658826069,0.151563131831409,0.094695700559822,-0.142897573681511,0.273730177434014,Amazonas
Amazonas,4632,44.39246,0,-0.00521297658826069,0.151563131831409,-0.457572557457754,-0.579754068690485,0.267228211202412,Amazonas
Amazonas,4649,243.43434,1,-0.00521297658826069,0.151563131831409,0.439227989154034,-0.142897573681511,0.216521307125603,Amazonas
Amazonas,4652,118.87843,1,-0.00521297658826069,0.151563131831409,0.25988814812972,-0.142897573681511,0.228898989009695,Amazonas
Amazonas,4653,130.4991,1,-0.00521297658826069,0.151563131831409,0.289955380849834,-0.142897573681511,0.245051062006413,Amazonas
Amazonas,4663,97.40986,0,-0.00521297658826069,0.151563131831409,0.474346573094113,0.725709440747789,0.181189052479449,Amazonas
Amazonas,4665,162.5523,1,-0.00521297658826069,0.151563131831409,0.0342290332410724,-0.142897573681511,0.213319320636431,Amazonas
Amazonas,4711,2182.43388,0,-0.00521297658826069,0.151563131831409,-1.01311465304203,-1.56340203839375,0.281497480201584,Amazonas
Amazonas,4719,709.05889,1,-0.00521297658826069,0.151563131831409,-0.0793358232309699,-0.142897573681511,0.251082488275998,Amazonas
