state,industry,people,wages,education
Amazonas,8423,1804.62167,3050788306.3,11600.40777
Amazonas,8424,742.6741999999999,2097339442,5891.0801599999995
Amazonas,8511,192.40285,320177615,1403.96515
Amazonas,8513,1271.0896,2020785467,8250.77943
Amazonas,8530,3656.52203,8202226801,28839.84879
Amazonas,8541,57.26551,57265510,343.59306
Amazonas,8544,300.41196,562230238,2465.3419
Amazonas,8551,854.39041,2432136050,7099.04318
Amazonas,8559,237.92584,132479022,1854.67244
Amazonas,8610,2969.35662,6923765966,22089.83151
Amazonas,8621,806.69901,1338234540,6089.7796
Amazonas,8622,93.01257,155162020,775.8101
Amazonas,8692,150.83686,226703815,1258.3416499999998
Amazonas,8891,308.04403,503650180,2241.09341
Amazonas,8899,215.21808000000001,357484230,1431.3689100000001
Amazonas,9007,140.1728,280345600,700.864
Amazonas,9008,47.55384,142661520,475.5384
Amazonas,9101,52.1224,255399760,260.61199999999997
Amazonas,9200,278.85495,247802921,1080.42484
Amazonas,9319,51.31024,41048192,256.5512
Amazonas,9491,480.32878,714988440,2799.97336
Amazonas,9492,126.23802,133934772,772.13496
Amazonas,9499,371.09975,685842014,2399.76702
Amazonas,9511,197.58383,123580110,1483.98325
Amazonas,9512,41.04819,73886742,369.43370999999996
Amazonas,9521,78.67093,78670930,236.01279
Amazonas,9522,420.30264999999997,485675215,2671.3159299999998
Amazonas,9529,159.83032,72536052,479.49096
Amazonas,9601,340.01923,167496118,1139.48657
Amazonas,9602,1503.83852,937202884,9819.025529999999
Amazonas,9603,107.03551999999999,223188480,682.05472
Amazonas,9609,147.8452,177414240,1182.7616
Amazonas,9700,805.6741,890217342,3114.47696
Amazonas,9900,62.41539,162280014,312.07695
Antioquia,0,1259.4374,2100336200,6473.558800000001
Antioquia,111,158854.1076,109874768792,486280.7945
Antioquia,112,47001.15,24957226360,147624.851
Antioquia,113,258072.2853,218193712515.9,937695.5673
Antioquia,119,21486.454999999998,17778521970,76972.199
Antioquia,121,226081.93081,246333653420.558,948940.76485
Antioquia,122,329384.4207,307775878486,1331291.5508
Antioquia,123,916646.952,748792948957.2,3045713.4514
Antioquia,124,221578.7252,142473839750,625877.8458
Antioquia,125,197571.38436,199026267250.0654,879402.49004
Antioquia,126,2203.419,1762735200,6610.257
Antioquia,127,57064.516,41565782300,191602.186
Antioquia,128,25031.3257,31163358080,113018.3654
Antioquia,129,2924.419,5848838000,29244.19
Antioquia,130,20013.8692,27981630910,114568.5232
Antioquia,141,449042.2483,592714569000.484,1630882.3658
Antioquia,142,21095.55558,67115797356.8,81596.7539
Antioquia,143,3874.844,2633612800,11624.532
Antioquia,144,26267.9653,21302196220,119741.1479
Antioquia,145,91933.8752,61678326968.923996,389330.14879999997
Antioquia,149,6022.1854,7999394910,24447.1651
Antioquia,150,16222.589100000001,8907080730,56755.407300000006
Antioquia,161,308911.0218,197233339868,1037318.867
Antioquia,162,18952.6149,10430688600,59388.3336
Antioquia,163,1161.515,1161515000,5807.575000000001
Antioquia,210,17586.1031,19726550805.8,92979.39020000001
Antioquia,220,19794.7382,31248705950,101949.5992
Antioquia,312,13096.796,9383631800,39290.388
Antioquia,321,650.9657,1432124540,1952.8971
Antioquia,322,9103.978000000001,8988130850.000002,37220.404
Antioquia,510,26562.472999999998,27359424860,155702.615
Antioquia,610,3937.8227,5160465450,30574.4125
Antioquia,722,480651.1548,558033244062,1849426.7728
Antioquia,729,933.0931,7371435490,9330.931
Antioquia,811,32089.4086,22902387170,152525.6655
Antioquia,1011,71573.84608,105503675303.808,467159.3333
Antioquia,1012,1175.1705,1222158780,6815.618100000001
Antioquia,1020,23920.5251,41494636460.4,164602.9315
Antioquia,1030,688.8937,344446850,6888.937
Antioquia,1040,121958.12705,157913113998.19,658310.94905
Antioquia,1051,11726.92319,50108671110,84786.23106
Antioquia,1061,2329.328,3488692850,17167.425
Antioquia,1062,1441.891,1802363750,14418.91
Antioquia,1071,911.1311,1305650866.3,7289.0488
Antioquia,1072,90487.56,46788415515,298896.38800000004
Antioquia,1081,302856.1233,339331273848.2732,1741946.3681
Antioquia,1082,37171.41885,63358594085.8624,259164.95935
Antioquia,1083,1208.2226,2368475800,8156.626
Antioquia,1084,7003.6149000000005,6721141525,42720.1271
Antioquia,1089,160402.62418,286914711044.1082,1044349.91682
Antioquia,1090,31496.3275,52719844720,217378.5529
Antioquia,1101,13829.1974,19125787620,80121.66619999999
Antioquia,1102,942.3793,6596655100,9423.793
Antioquia,1103,14843.157,52796935010,120253.3825
Antioquia,1104,56266.1637,117171447163,355875.74689999997
Antioquia,1200,2029.9677,10468958130,18027.110999999997
Antioquia,1311,14310.7554,23344533109.96,96904.1707
