fecha,clae3,total_fob
2007-02-01,201,97393672
2007-02-01,202,91643440
2007-02-01,203,-99
2007-02-01,210,40279516
2007-02-01,221,15491985
2007-02-01,222,31540902
2007-02-01,231,2385086
2007-02-01,239,10018329
2007-02-01,241,120166120
2007-02-01,242,47025700
2007-02-01,243,5523588
2007-02-01,251,2081859
2007-02-01,252,709690
2007-02-01,259,16926304
2007-02-01,261,100476
2007-02-01,262,2349571
2007-02-01,263,626327
2007-02-01,264,768632
2007-02-01,265,2615933
2007-02-01,266,2028455
2007-02-01,267,201132
2007-02-01,271,4301230
2007-02-01,272,916156
2007-02-01,273,4980245
2007-02-01,274,584085
2007-02-01,275,3371174
2007-02-01,279,2582581
2007-02-01,281,19340408
2007-02-01,282,25366054
2007-02-01,291,339952544
2007-02-01,292,751146
2007-02-01,293,52024564
2007-02-01,301,1054905
2007-02-01,302,727554
2007-02-01,303,197577
2007-02-01,309,26108
2007-02-01,310,3167205
2007-02-01,321,96747
2007-02-01,322,122708
2007-02-01,323,191619
2007-02-01,324,64936
2007-02-01,329,2208181
2007-02-01,331,1508411
2007-02-01,332,-99
2007-02-01,351,10005759
2007-02-01,381,-99
2007-02-01,382,1353630
2007-02-01,410,446423
2007-02-01,421,167912
2007-02-01,422,165207
2007-02-01,429,49937
2007-02-01,431,-99
2007-02-01,432,251693
2007-02-01,439,907293
2007-02-01,451,290275
2007-02-01,452,133480
2007-02-01,453,2914182
2007-02-01,454,-99
2007-02-01,461,50763408
2007-02-01,462,119376328
2007-02-01,463,71816000
2007-02-01,464,17899620
2007-02-01,465,5106331
2007-02-01,466,12363607
2007-02-01,469,21163564
2007-02-01,471,6393706
2007-02-01,472,23273
2007-02-01,473,-99
2007-02-01,475,502518
2007-02-01,476,350300
2007-02-01,477,1931416
2007-02-01,479,17546
2007-02-01,492,1145193
2007-02-01,493,16417273
2007-02-01,501,182645
2007-02-01,502,-99
2007-02-01,511,11645864
2007-02-01,512,-99
2007-02-01,522,6825831
2007-02-01,523,1399869
2007-02-01,524,342561
2007-02-01,551,-99
2007-02-01,561,55282
2007-02-01,562,-99
2007-02-01,581,2094748
2007-02-01,591,321834
2007-02-01,592,-99
2007-02-01,602,546758
2007-02-01,611,-99
2007-02-01,612,-99
2007-02-01,613,-99
2007-02-01,614,-99
2007-02-01,619,25629
2007-02-01,620,1177564
2007-02-01,649,-99
2007-02-01,681,6817497
2007-02-01,682,-99
2007-02-01,691,-99
2007-02-01,692,56278
2007-02-01,702,1972365
2007-02-01,711,898538
2007-02-01,712,-99
2007-02-01,721,136238
2007-02-01,731,32522
2007-02-01,741,-99
2007-02-01,742,-99
2007-02-01,749,-99
2007-02-01,750,-99
2007-02-01,771,-99
2007-02-01,773,821482
2007-02-01,774,-99
2007-02-01,813,-99
2007-02-01,821,97628
2007-02-01,822,-99
2007-02-01,823,-99
2007-02-01,829,6803846
2007-02-01,851,-99
2007-02-01,853,-99
2007-02-01,854,-99
2007-02-01,863,-99
2007-02-01,869,-99
2007-02-01,900,55815
2007-02-01,910,-99
2007-02-01,920,-99
2007-02-01,931,-99
2007-02-01,939,-99
2007-02-01,941,-99
2007-02-01,949,669941
2007-02-01,951,-99
2007-02-01,952,-99
2007-02-01,960,793783
2007-02-01,999,766192
2007-03-01,11,19718752
2007-03-01,12,45085072
2007-03-01,13,21405516
2007-03-01,14,12312129
2007-03-01,16,618582
2007-03-01,21,64412
2007-03-01,22,1101334
2007-03-01,31,44998948
2007-03-01,32,-99
2007-03-01,51,-99
2007-03-01,61,343353952
2007-03-01,62,16490943
2007-03-01,72,193184512
2007-03-01,81,1855860
2007-03-01,89,6280599
2007-03-01,91,8133470
2007-03-01,99,58050
2007-03-01,101,109335680
2007-03-01,102,35354384
2007-03-01,103,45892768
2007-03-01,104,985444032
2007-03-01,105,55808244
2007-03-01,106,20880100
2007-03-01,107,81951472
2007-03-01,108,3399872
2007-03-01,109,633385
2007-03-01,110,49980680
2007-03-01,120,12933603
2007-03-01,131,27372416
2007-03-01,139,8642873
2007-03-01,141,4892493
2007-03-01,142,42459
2007-03-01,143,434998
2007-03-01,151,88022904
2007-03-01,152,3061228
2007-03-01,161,2847686
2007-03-01,162,9489096
2007-03-01,170,54636264
2007-03-01,181,5530949
2007-03-01,182,-99
2007-03-01,191,282874
2007-03-01,192,105405504
2007-03-01,201,119721984
2007-03-01,202,112695368
2007-03-01,203,-99
2007-03-01,210,46123452
2007-03-01,221,24357148
2007-03-01,222,40857508
2007-03-01,231,3377637
2007-03-01,239,14815838
2007-03-01,241,137777568
2007-03-01,242,57117496
2007-03-01,243,7095012
2007-03-01,251,3999052
2007-03-01,252,817568
2007-03-01,259,23120212
2007-03-01,261,254634
2007-03-01,262,231479
2007-03-01,263,1005608
2007-03-01,264,1067185
2007-03-01,265,2776615
2007-03-01,266,2568684
2007-03-01,267,270664
2007-03-01,271,4853708
2007-03-01,272,1053509
2007-03-01,273,5034904
2007-03-01,274,641076
2007-03-01,275,3812886
2007-03-01,279,2348228
2007-03-01,281,32277948
2007-03-01,282,30298878
2007-03-01,291,389427488
2007-03-01,292,704690
2007-03-01,293,67576168
2007-03-01,301,2556639
2007-03-01,302,-99
2007-03-01,303,965386
2007-03-01,309,58278
2007-03-01,310,4208490
2007-03-01,321,-99
2007-03-01,322,209848
2007-03-01,323,269130
2007-03-01,324,159677
2007-03-01,329,2743646
2007-03-01,331,1530538
2007-03-01,332,-99
2007-03-01,351,9532957
2007-03-01,370,-99
2007-03-01,381,-99
2007-03-01,382,1104030
2007-03-01,410,325302
2007-03-01,421,155068
2007-03-01,422,2007308
2007-03-01,429,19489
2007-03-01,431,-99
2007-03-01,432,216336
2007-03-01,433,-99
2007-03-01,439,249711
2007-03-01,451,23687
2007-03-01,452,27503
2007-03-01,453,4283935
2007-03-01,454,58540
2007-03-01,461,43905984
2007-03-01,462,209354448
2007-03-01,463,81824912
2007-03-01,464,20091548
2007-03-01,465,5518627
2007-03-01,466,14569750
2007-03-01,469,22087494
2007-03-01,471,5949444
2007-03-01,472,401543
2007-03-01,473,-99
2007-03-01,474,39255
2007-03-01,475,503368
2007-03-01,476,461484
2007-03-01,477,3008683
2007-03-01,478,-99
2007-03-01,479,-99
2007-03-01,492,1070921
2007-03-01,493,-99
2007-03-01,501,769416
2007-03-01,502,-99
2007-03-01,511,26937932
2007-03-01,512,-99
2007-03-01,522,5724426
2007-03-01,523,1515337
2007-03-01,524,122254
2007-03-01,530,-99
2007-03-01,551,146244
2007-03-01,561,111192
2007-03-01,562,-99
2007-03-01,581,2341968
2007-03-01,591,1163204
2007-03-01,592,-99
2007-03-01,602,245218
2007-03-01,612,-99
2007-03-01,613,-99
2007-03-01,614,-99
2007-03-01,619,166204
2007-03-01,620,1603889
2007-03-01,631,-99
2007-03-01,649,-99
2007-03-01,681,7525106
2007-03-01,682,-99
2007-03-01,691,-99
2007-03-01,692,-99
2007-03-01,702,2212972
2007-03-01,711,1112529
2007-03-01,712,-99
2007-03-01,721,142074
2007-03-01,731,134581
2007-03-01,741,-99
2007-03-01,742,-99
2007-03-01,749,-99
2007-03-01,750,-99
2007-03-01,771,-99
2007-03-01,773,1245492
2007-03-01,774,-99
2007-03-01,791,-99
2007-03-01,812,-99
2007-03-01,813,-99
2007-03-01,821,150577
2007-03-01,822,-99
2007-03-01,829,11192171
2007-03-01,854,-99
2007-03-01,863,-99
2007-03-01,869,-99
2007-03-01,900,-99
2007-03-01,910,-99
2007-03-01,920,-99
2007-03-01,931,-99
2007-03-01,939,70402
2007-03-01,941,-99
2007-03-01,949,951291
2007-03-01,951,23823
2007-03-01,952,-99
2007-03-01,960,1750730
2007-03-01,999,1178663
2007-04-01,11,24243456
2007-04-01,12,38257344
2007-04-01,13,5146802
2007-04-01,14,7894431
2007-04-01,16,461069
2007-04-01,17,-99
2007-04-01,21,-99
2007-04-01,22,590283
2007-04-01,24,-99
2007-04-01,31,82718376
2007-04-01,32,-99
2007-04-01,51,-99
2007-04-01,61,316750912
2007-04-01,62,25482468
2007-04-01,72,78751648
2007-04-01,81,1840593
2007-04-01,89,6618576
2007-04-01,91,5006894
2007-04-01,99,-99
2007-04-01,101,112148992
2007-04-01,102,34636912
2007-04-01,103,54211120
2007-04-01,104,1280863232
2007-04-01,105,32004824
2007-04-01,106,24045972
2007-04-01,107,67635208
2007-04-01,108,4280518
2007-04-01,109,522964
2007-04-01,110,54908628
2007-04-01,120,10477569
2007-04-01,131,25048304
2007-04-01,139,8448958
2007-04-01,141,3317865
2007-04-01,142,176664
2007-04-01,143,496902
2007-04-01,151,86978568
2007-04-01,152,1821979
2007-04-01,161,2040403
2007-04-01,162,9635018
2007-04-01,170,53819508
2007-04-01,181,4455745
2007-04-01,182,-99
2007-04-01,191,278929
2007-04-01,192,105230832
2007-04-01,201,107272424
2007-04-01,202,89062896
2007-04-01,203,-99
2007-04-01,210,42417804
2007-04-01,221,22637328
2007-04-01,222,36092944
2007-04-01,231,3394046
2007-04-01,239,11947960
2007-04-01,241,139013696
2007-04-01,242,36277656
2007-04-01,243,7090958
2007-04-01,251,5405385
2007-04-01,252,853992
2007-04-01,259,19945116
2007-04-01,261,159480
2007-04-01,262,211255
2007-04-01,263,244045
2007-04-01,264,411094
2007-04-01,265,2745462
2007-04-01,266,2713965
2007-04-01,267,204941
2007-04-01,268,-99
2007-04-01,271,6685047
2007-04-01,272,1375802
2007-04-01,273,5414572
2007-04-01,274,681183
2007-04-01,275,4456416
2007-04-01,279,2692275
2007-04-01,281,26429396
2007-04-01,282,30776278
2007-04-01,291,299474208
2007-04-01,292,1098638
2007-04-01,293,59847272
2007-04-01,301,461751
2007-04-01,302,-99
2007-04-01,303,1478270
2007-04-01,309,60614
2007-04-01,310,3751586
2007-04-01,321,218752
2007-04-01,322,96209
2007-04-01,323,237526
2007-04-01,324,294313
2007-04-01,329,2227737
2007-04-01,331,749046
2007-04-01,332,2007574
2007-04-01,351,6651637
2007-04-01,370,-99
2007-04-01,381,-99
